type,location,bedrooms,title,old_price,new_price,pct_change,listing_url
new_listing,Banana Island,,"for this search We'll email you when a new listing matches Residential Land for Sale in Banana Island, Ikoyi, Lagos. Your email address Get alerts Alert on Manage alerts Premium 1",,5000000,,https://nigeriapropertycentre.com/for-sale/land/residential-land/lagos/ikoyi/banana-island/3675061-900sqm-residential-land
new_listing,Banana Island,2,Premium 12,,35000000,,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/banana-island/3687516-2-bedroom-waterfront-apartment-with-bq
new_listing,Banana Island,4,Premium 13,,90000000,,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/banana-island/3687144-top-notch-and-excellently-finished-4-bed-penthouse-with-a-study-room
new_listing,Banana Island,4,Premium 16,,70000000,,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/banana-island/3659508-unique-furnished-luxury-4-bedroom-flat
new_listing,Banana Island,4,Premium 18,,100000000,,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/banana-island/3686465-4-bedroom-luxury-penthouse-with-elevator
new_listing,Banana Island,3,Premium 13,,40000000,,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/banana-island/3686323-tastefully-built-3-bedroom-apartment-with-bq
new_listing,Banana Island,5,"Premium 1 ₦150,000,000 /yr Flat / apartment for rent 5 Beds Maisonette Penthouse S/direct brief 5bedroom waterview penthouse triplex maisonette + 2BQs for Sale/Rent Location: Mojis",,150000000,,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/banana-island/3686189-5-beds-maisonette-penthouse
new_listing,Banana Island,4,Premium 17,,40000000,,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/banana-island/3685603-4-bedroom-apartment-in-secured-estate
new_listing,Old Ikoyi,4,"'ll email you when a new listing matches Flats for Sale in Old Ikoyi, Ikoyi, Lagos. Your email address Get alerts Alert on Manage alerts Premium Plus Top promoted listing 18 photos",,2000000000,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/old-ikoyi/3583739-3-bedrooms-apartment
new_listing,Old Ikoyi,4,"'ll email you when a new listing matches Flats for Sale in Old Ikoyi, Ikoyi, Lagos. Your email address Get alerts Alert on Manage alerts Premium Plus Top promoted listing 18 photos",,2000000000,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/old-ikoyi/3584008-3-bedroom-apartment
price_change,Old Ikoyi,4,"'ll email you when a new listing matches Flats for Sale in Old Ikoyi, Ikoyi, Lagos. Your email address Get alerts Alert on Manage alerts Premium Plus Top promoted listing 18 photos",700000000,2000000000,185.7,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/old-ikoyi/3566185-luxury-4-bedroom-maisonette-with-maids-room
price_change,Old Ikoyi,4,"'ll email you when a new listing matches Flats for Sale in Old Ikoyi, Ikoyi, Lagos. Your email address Get alerts Alert on Manage alerts Premium Plus Top promoted listing 18 photos",700000000,2000000000,185.7,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/old-ikoyi/3569161-luxury-3-bedroom-apartment-with-a-bq
price_change,Old Ikoyi,4,"'ll email you when a new listing matches Flats for Sale in Old Ikoyi, Ikoyi, Lagos. Your email address Get alerts Alert on Manage alerts Premium Plus Top promoted listing 18 photos",700000000,2000000000,185.7,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/old-ikoyi/3660856-luxury-5-bedroom-penthouse-with-2-ensuite-boys-quarters
new_listing,Old Ikoyi,4,"Premium 9 $4,000,000 Flat / apartment for sale Newly Built Exquiste 4 Bedroom Apartment Exquisite 4-bedroom luxury apartment a rare opportunity to own a distinguished residence in ",,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/old-ikoyi/3685978-newly-built-exquiste-4-bedroom-apartment
new_listing,Old Ikoyi,4,"'ll email you when a new listing matches Flats for Sale in Old Ikoyi, Ikoyi, Lagos. Your email address Get alerts Alert on Manage alerts Premium Plus Top promoted listing 18 photos",,2000000000,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/old-ikoyi/3583701-4-bedrooms-maisonette
new_listing,Old Ikoyi,3,Premium 18,,240000000,,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3687481-12-units-of-3-bedroom-apartment
new_listing,Old Ikoyi,2,"hin a secure and well-maintained residential development. Property Details 2-Bedroom Apartment + BQ Location: Old Ikoyi, Lagos Size: 211 sqm Rent: $52,000 per annum Service Charge:",,7,,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3686916-2-bedroom-apartment-with-boys-quarters
new_listing,Old Ikoyi,4,Premium 25,,80000000,,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3686839-4-bedroom-luxury-maisonette
new_listing,Old Ikoyi,3,"oom Apartment, BQ, Pool, Tennis Direct clients preferable Affordable and centrally located 3 bedroom apartment with bq, etc, swimming pool, tennis court, GYM etc in Old Ikoyi Rent:",,30000000,,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3686806-affordable-and-centrally-located-3-bedroom-apartment-bq-pool-tennis
new_listing,Old Ikoyi,3,"e'll email you when a new listing matches Flats for Rent in Old Ikoyi, Ikoyi, Lagos. Your email address Get alerts Alert on Manage alerts Premium Plus Top promoted listing 4 photos",,37000000,,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3672135-3-bedroom-luxury-waterfront-apartment
price_change,Old Ikoyi,4,"erts for this search We'll email you when a new listing matches Residential Land for Sale in Old Ikoyi, Ikoyi, Lagos. Your email address Get alerts Alert on Manage alerts Premium 1",5000000,2500000,-50.0,https://nigeriapropertycentre.com/for-sale/land/residential-land/lagos/ikoyi/old-ikoyi/3644964-prime-land
new_listing,Old Ikoyi,4,"erts for this search We'll email you when a new listing matches Residential Land for Sale in Old Ikoyi, Ikoyi, Lagos. Your email address Get alerts Alert on Manage alerts Premium 1",,2500000,,https://nigeriapropertycentre.com/for-sale/land/residential-land/lagos/ikoyi/old-ikoyi/3203911-ready-to-build-residential-land-in-a-lovely-location-dealing-with-mandate
new_listing,Old Ikoyi,4,"erts for this search We'll email you when a new listing matches Residential Land for Sale in Old Ikoyi, Ikoyi, Lagos. Your email address Get alerts Alert on Manage alerts Premium 1",,2500000,,https://nigeriapropertycentre.com/for-sale/land/residential-land/lagos/ikoyi/old-ikoyi/3204953-900sqm-ready-to-build-residential-land-direct-to-mandate
price_change,Old Ikoyi,4,"erts for this search We'll email you when a new listing matches Residential Land for Sale in Old Ikoyi, Ikoyi, Lagos. Your email address Get alerts Alert on Manage alerts Premium 1",5000000,2500000,-50.0,https://nigeriapropertycentre.com/for-sale/land/residential-land/lagos/ikoyi/old-ikoyi/3675323-residential-land
price_change,Old Ikoyi,4,"erts for this search We'll email you when a new listing matches Residential Land for Sale in Old Ikoyi, Ikoyi, Lagos. Your email address Get alerts Alert on Manage alerts Premium 1",5000000,2500000,-50.0,https://nigeriapropertycentre.com/for-sale/land/residential-land/lagos/ikoyi/old-ikoyi/3675302-residential-land-with-water-view
price_change,Old Ikoyi,4,"erts for this search We'll email you when a new listing matches Residential Land for Sale in Old Ikoyi, Ikoyi, Lagos. Your email address Get alerts Alert on Manage alerts Premium 1",5000000,2500000,-50.0,https://nigeriapropertycentre.com/for-sale/land/residential-land/lagos/ikoyi/old-ikoyi/3671293-residential-land
price_change,Old Ikoyi,4,"erts for this search We'll email you when a new listing matches Residential Land for Sale in Old Ikoyi, Ikoyi, Lagos. Your email address Get alerts Alert on Manage alerts Premium 1",5000000,2500000,-50.0,https://nigeriapropertycentre.com/for-sale/land/residential-land/lagos/ikoyi/old-ikoyi/3585579-fenced-dry-land-measuring-1400-sqm
price_change,Old Ikoyi,4,"erts for this search We'll email you when a new listing matches Residential Land for Sale in Old Ikoyi, Ikoyi, Lagos. Your email address Get alerts Alert on Manage alerts Premium 1",5000000,2500000,-50.0,https://nigeriapropertycentre.com/for-sale/land/residential-land/lagos/ikoyi/old-ikoyi/3666736-residential-land-with-structure-on-it
price_change,Old Ikoyi,4,"erts for this search We'll email you when a new listing matches Residential Land for Sale in Old Ikoyi, Ikoyi, Lagos. Your email address Get alerts Alert on Manage alerts Premium 1",5000000,2500000,-50.0,https://nigeriapropertycentre.com/for-sale/land/residential-land/lagos/ikoyi/old-ikoyi/3666482-land-with-c-of-o
price_change,Old Ikoyi,4,"erts for this search We'll email you when a new listing matches Residential Land for Sale in Old Ikoyi, Ikoyi, Lagos. Your email address Get alerts Alert on Manage alerts Premium 1",5000000,2500000,-50.0,https://nigeriapropertycentre.com/for-sale/land/residential-land/lagos/ikoyi/old-ikoyi/3647274-prime-4-300sqm-residential-development-land
price_change,Old Ikoyi,4,"erts for this search We'll email you when a new listing matches Residential Land for Sale in Old Ikoyi, Ikoyi, Lagos. Your email address Get alerts Alert on Manage alerts Premium 1",5000000,2500000,-50.0,https://nigeriapropertycentre.com/for-sale/land/residential-land/lagos/ikoyi/old-ikoyi/3631792-residential-land
price_change,Old Ikoyi,4,"erts for this search We'll email you when a new listing matches Residential Land for Sale in Old Ikoyi, Ikoyi, Lagos. Your email address Get alerts Alert on Manage alerts Premium 1",5000000,2500000,-50.0,https://nigeriapropertycentre.com/for-sale/land/residential-land/lagos/ikoyi/old-ikoyi/3612214-residential-land
new_listing,Lekki Phase 1,2,Premium Verified Photos 13,,320000000,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3687550-spacious-and-fast-selling-2-bedroom-apartment-with-elevator-and-gym
new_listing,Lekki Phase 1,3,Premium Verified Photos 9,,420000000,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3687400-exquisite-3-bedroom-apartment-with-elevator-and-gym
new_listing,Lekki Phase 1,2,Premium Verified Photos 9,,350000000,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3687338-exquisite-2-bedroom-apartment-with-elevator-and-gym
new_listing,Lekki Phase 1,2,Premium Verified Photos 9,,400000000,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3687270-well-situated-2-bedroom-apartment-with-elevator-and-gym
new_listing,Lekki Phase 1,2,"00,000 Flat / apartment for sale 2 Bedroom Apartment with BQ, Elevator & Swimming Pool For sale 2 Bedroom Apartment with BQ, Elevator & Swimming Pool Location: Lekki Phase 1 Price:",,300000000,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3687689-2-bedroom-apartment-with-bq-elevator-swimming-pool
